study_id,EvalGroup,sample_n,[BIB] Author(s),[BIB] Publication Year,[BIB] Discipline,[MET] Study Type,[PAR] Evaluator 1,[PAR] Evaluator 2
29,Blind & partially sighted,107,"Jiang, L.; Zhu, D.",2021,Computer Science,Empirical,Blind and partially sighted,
15,Blind & partially sighted,83,"Ferziger, N.; Dror, Y. F.; Gruber, L.; Goren, N.; Neustadt-Noy, N.; Katz, N.; Erez, A. B-H.",2020,Disability Studies,Empirical,Blind and partially sighted,
21,Blind & partially sighted,76,"García-Prieto, V.; Aguaded, I.",2021,Communication Studies,Empirical,Blind and partially sighted,
4,Blind & partially sighted,69,"Branje, C.J.; Fels, D.I.",2012,Computer Science,Empirical,Blind and partially sighted,Sighted (non-professional)
51,Blind & partially sighted,60,"Peaty, G.; Locke, K.; Kao, K-T.; Ellis, K.; Hersinta",2023,Communication Studies,Empirical,Blind and partially sighted,
19,Blind & partially sighted,54,"Fryer, L.",2021,Translation Studies,Empirical,Blind and partially sighted,
34,Blind & partially sighted,40,"Li, C.; Padmanabhuni, S.; Cheema, M. S.; Seifi, H.; Fazli, P.",2025,Computer Science,Empirical,Blind and partially sighted,Sighted (non-professional)
62,Blind & partially sighted,40,"Tor-Carroggio, I.",2020,Translation Studies,Empirical,Blind and partially sighted,
22,Blind & partially sighted,39,"Gerber, E.",2009,Anthropology,Empirical,Blind and partially sighted,
54,Blind & partially sighted,36,"Rodríguez González de Antona, A.",2017,Translation Studies,Empirical,Blind and partially sighted,Sighted (non-professional)
71,Blind & partially sighted,26,"Yang, H.; Shen, W.; Liu, B.; Wang, Y.",2023,Translation Studies,Empirical,Blind and partially sighted,
41,Blind & partially sighted,24,"Naraine, M. D.; Fels, D. I.; Whitfield, M.",2018,Disability Studies,Empirical,Blind and partially sighted,
9,Blind & partially sighted,18,"Chmiel, A.; Mazur, I.",2011,Translation Studies,Empirical,Blind and partially sighted,
58,Blind & partially sighted,17,"Seeley, K. H.",2023,Communication Studies,Empirical,Blind and partially sighted,
